week,date,long_ret,short_ret,ctrend_ret,n_coins,n_long,n_short,n_cols
202502,2025-01-10,0.08243794413383085,0.144786711618125,-0.06234876748429416,157,32,32,28
202503,2025-01-17,-0.038607445009947075,-0.1643389899122784,0.12573154490233135,157,32,32,28
202504,2025-01-24,-0.021706635875107606,-0.038891933144448776,0.01718529726934117,157,32,32,28
202505,2025-01-31,-0.16130909543173974,-0.2493176473963475,0.08800855196460777,154,31,31,28
202506,2025-02-07,0.04671969119777173,0.06263018757818124,-0.015910496380409513,155,31,31,28
202507,2025-02-14,0.005426470667163201,-0.12720702981030194,0.13263350047746514,155,31,31,28
202508,2025-02-21,-0.05088723112954698,-0.12047833267179264,0.06959110154224565,156,32,32,28
202509,2025-02-28,-0.0011426604461985156,-0.05062385381243828,0.04948119336623977,159,32,32,28
202510,2025-03-07,-0.04233955612939025,-0.06724063918030515,0.0249010830509149,157,32,32,28
202511,2025-03-14,0.006150432082161823,0.04339745333508447,-0.037247021252922646,149,30,30,28
202512,2025-03-21,-0.007278563543006626,0.020188298401876744,-0.027466861944883368,147,30,30,28
202513,2025-03-28,-0.01398106143014609,-0.05668123302887823,0.04270017159873214,155,31,31,28
202514,2025-04-04,-0.008557451706418733,-0.04396022537007768,0.035402773663658946,154,31,31,28
202515,2025-04-11,0.01627002794861792,0.015954543279312956,0.00031548466930496344,147,30,30,28
202516,2025-04-18,0.09538031851523059,0.16963592309284264,-0.07425560457761206,143,29,29,28
202517,2025-04-25,-0.004318216212417818,0.0015413154367348197,-0.005859531649152638,161,33,33,28
202518,2025-05-02,0.12517955109710974,0.017861248269612794,0.10731830282749694,156,32,32,28
202519,2025-05-09,0.03886122737751608,-0.010584426689332484,0.04944565406684856,164,33,33,28
202520,2025-05-16,0.015029356932768112,0.009526001146696248,0.0055033557860718636,152,31,31,28
202521,2025-05-23,-0.058804357802723105,-0.1204570017108569,0.06165264390813379,164,33,33,28
202522,2025-05-30,-0.024695390018792767,0.0012551296571927974,-0.025950519675985564,166,34,34,28
202523,2025-06-06,0.06851417846110042,-0.00099767989072222,0.06951185835182264,147,30,30,28
202524,2025-06-13,-0.06368781785205176,-0.08901159979282583,0.025323781940774073,164,33,33,28
202525,2025-06-20,0.023618836623881322,-0.005085166965505513,0.028704003589386837,149,30,30,28
202526,2025-06-27,-0.003459688058729641,0.0341973009335573,-0.03765698899228694,146,30,30,28
202527,2025-07-04,0.22128947364360846,0.1471940624469857,0.07409541119662275,155,31,31,28
202528,2025-07-11,0.19961756426451122,0.009074150747393312,0.1905434135171179,170,34,34,28
202529,2025-07-18,0.006411302590351824,0.002757250557101867,0.0036540520332499567,167,34,34,28
202530,2025-07-25,-0.08565707011314347,-0.09868203572610039,0.01302496561295692,166,34,34,28
202531,2025-08-01,0.07965661505013204,0.04384172710109253,0.03581488794903951,173,35,35,28
202532,2025-08-08,0.08440184716826135,-0.06684002980188325,0.1512418769701446,169,34,34,28
202533,2025-08-15,0.08228563201590335,0.059521255336796364,0.022764376679106982,173,35,35,28
202534,2025-08-22,-0.0717804782362878,-0.10584396718437784,0.03406348894809004,176,36,36,28
202535,2025-08-29,-0.02520064015820612,-0.010654226904587609,-0.014546413253618513,175,35,35,28
202536,2025-09-05,0.08485674841239604,0.08509073014196619,-0.0002339817295701485,165,33,33,28
202537,2025-09-12,-0.08534372594154073,-0.0019332967613485883,-0.08341042918019215,168,34,34,28
202538,2025-09-19,-0.07393764258945534,-0.1211463869786898,0.04720874438923446,170,34,34,28
202539,2025-09-26,0.03846711659332795,0.06114429577176343,-0.02267717917843548,165,33,33,28
202540,2025-10-03,-0.07714333760067894,-0.2727309714190988,0.19558763381841987,168,34,34,28
202541,2025-10-10,-0.03222935202469631,-0.023434079090881837,-0.008795272933814473,184,37,37,28
202542,2025-10-17,0.04087764163773732,0.0016289903878285582,0.03924865124990876,178,36,36,28
202543,2025-10-24,-0.026497804493128715,-0.06361163087318944,0.03711382638006072,155,31,31,28
202544,2025-10-31,0.01569657799888042,0.010206055611715286,0.005490522387165133,155,31,31,28
202545,2025-11-07,-0.19391581726905924,-0.09495609725189423,-0.098959720017165,187,38,38,28
202546,2025-11-14,-0.09722194930791521,-0.11601374959794382,0.01879180029002861,173,35,35,28
202547,2025-11-21,0.02712597610555456,0.03375282105547834,-0.006626844949923778,185,37,37,28
202548,2025-11-28,-0.014862703137181691,-0.05580735031876144,0.04094464718157975,169,34,34,28
202549,2025-12-05,0.019138071834488724,-0.0030754407080424884,0.022213512542531212,167,34,34,28
202550,2025-12-12,-0.05102446498409163,-0.0887034449617099,0.037678979977618265,163,33,33,28
202551,2025-12-19,-0.013226061693390394,0.005870273331336638,-0.019096335024727032,159,32,32,28
202552,2025-12-26,-0.001960668731958855,0.0926053722614572,-0.09456604099341605,152,31,31,28
202601,2026-01-02,0.01993232043041738,-0.036376850067909076,0.056309170498326455,167,34,34,28
202602,2026-01-09,-0.031775154064615084,0.019862033584020146,-0.05163718764863523,151,31,31,28
